pushepisode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
73,Zombie,20.0,0.0,11.299590349197388,-30.0,147.6,True,283
74,Zombie,14.748000000000001,3.0,24.088284015655518,-30.0,88.56000000000002,False,601
75,Zombie,20.0,0.0,13.6493980884552,-30.0,106.4199925,True,342
76,Zombie,20.0,4.333334000000001,15.849380731582642,-30.0,107.84583699999999,True,396
77,Zombie,20.0,3.0,12.994352102279663,-30.0,150.03999249999998,True,325
78,Zombie,20.0,0.0,10.075700998306274,0.0,136.839991,True,252
79,Zombie,20.0,13.833333,13.453729152679443,-30.0,201.9694825,True,336
80,Zombie,20.0,0.0,13.231590509414673,-30.0,166.11998499999999,True,331
81,Zombie,20.0,8.500002,22.317771196365356,-30.000000000000018,237.81661,True,558
82,Zombie,20.0,8.333331,12.360429525375366,-30.000000000000018,108.286624,True,309
83,Zombie,20.0,0.0,16.36361050605774,-30.0,128.5472725,True,410
84,Zombie,20.0,0.0,14.280106544494629,-10.0,120.999994,True,357
85,Zombie,20.0,0.0,19.970521688461304,-30.0,214.7975725,True,500
86,Zombie,20.0,9.333333,19.96994972229004,-30.0,180.790009,True,499
87,Zombie,20.0,15.166666,19.491857051849365,-30.000000000000007,132.84000000000003,True,488
88,Zombie,8.684722,8.166666,24.030660152435303,-30.0,28.800000000000026,False,600
89,Zombie,20.0,3.0,9.366163730621338,0.0,179.199985,True,234
90,Zombie,20.0,0.0,10.747590780258179,-30.0,140.8052395,True,269
91,Zombie,20.0,0.0,11.389589071273804,0.0,118.07999999999997,True,286
92,Zombie,20.0,0.0,13.951331853866577,-30.0,162.360006,True,349
93,Zombie,20.0,0.0,11.613003969192505,-30.0,132.83999999999997,True,290
94,Zombie,20.0,2.333335999999999,15.63845443725586,-30.0,134.355175,True,391
95,Zombie,20.0,0.0,17.28630828857422,-30.0,120.4599925,True,433
96,Zombie,20.0,3.0,20.392852067947388,0.0,147.6,True,509
97,Zombie,18.5921717,12.499998999999999,24.00189208984375,-30.0,162.3600105,False,600
98,Zombie,20.0,2.0000019999999985,19.57225775718689,-30.0,226.75027,True,490
99,Zombie,16.833755,2.8333319999999986,24.034202098846436,-30.0,88.56,False,599
100,Zombie,11.680002,2.0,24.011066436767578,-30.0,44.100015000000006,False,599
101,Zombie,20.0,8.0,15.304805040359497,-30.0,118.08,True,383
102,Zombie,18.9817386,0.0,24.026907682418823,-30.0,78.98607000000001,False,600
103,Zombie,13.854076,3.8333319999999986,24.034525394439697,-30.000000000000018,118.08,False,599
104,Zombie,3.3578170000000007,3.1666659999999993,24.035974264144897,-30.0,26.393369999999976,False,598
105,Zombie,10.972226,5.833334000000001,24.026159524917603,-30.0,147.60001499999998,False,600
106,Zombie,10.145686,9.333336,24.034724712371826,-30.0,59.03999250000002,False,599
107,Zombie,20.0,0.5,21.222258806228638,-30.0,118.87610649999999,True,531
108,Zombie,20.0,2.0,13.54090690612793,-30.0,132.84,True,339
109,Zombie,20.0,0.0,16.735924005508423,-30.0,170.285149,True,418
110,Zombie,20.0,0.0,8.632402896881104,0.0,121.119985,True,215
111,Zombie,20.0,0.0,17.945059299468994,-30.0,120.1481605,True,449
112,Zombie,20.0,0.0,12.691851377487183,0.0,179.319994,True,318
113,Zombie,20.0,0.0,12.166558980941772,0.0,178.9599925,True,305
114,Zombie,20.0,0.0,19.391249656677246,-30.0,147.600009,True,485
115,Zombie,16.002473600000002,7.166668,24.091941118240356,-30.0,132.84,False,601
116,Zombie,20.0,0.0,19.15309977531433,-30.0,115.5700405,True,479
117,Zombie,17.1060677,0.0,24.04564332962036,-30.0,73.80001499999999,False,602
118,Zombie,20.0,0.0,23.037041902542114,-30.0,105.1358617,True,576
119,Zombie,12.8504477,16.333334999999998,24.043209314346313,-30.000000000000018,73.7999955,False,600
120,Zombie,20.0,0.0,13.062329053878784,-30.0,143.691985,True,327
121,Zombie,17.947947,0.0,24.111170291900635,-30.0,59.04001499999999,False,601
122,Zombie,17.9958186,13.000002,24.011436700820923,-30.000000000000018,59.03998500000001,False,599
123,Zombie,20.0,0.0,14.421776294708252,-30.0,208.3,True,361
124,Zombie,13.143947,1.3333359999999992,24.097405433654785,-30.0,103.32001500000001,False,601
125,Zombie,5.800001,0.0,24.118929624557495,-30.0,44.10000000000002,False,601
126,Zombie,6.8880005,0.0,24.103749752044678,-30.0,103.3200075,False,601
127,Zombie,12.205867999999999,0.0,24.016501665115356,-30.0,88.55999999999997,False,598
128,Zombie,19.0019822,0.0,24.052976846694946,-30.0,103.32,False,601
129,Zombie,10.620001,0.0,24.023862600326538,-30.0,44.100015000000006,False,598
130,Zombie,8.776016,0.0,24.045920610427856,-30.0,44.100014999999985,False,601
131,Zombie,20.0,6.833334000000001,21.640097856521606,-30.0,172.242796,True,541
132,Zombie,20.0,0.0,16.804175853729248,-30.0,178.95997,True,421
133,Zombie,20.0,1.3333359999999992,23.154744386672974,-30.0,124.395979,True,580
134,Zombie,20.0,2.0,13.540272951126099,-30.0,106.5999883,True,338
135,Zombie,20.0,0.0,8.655203342437744,-30.0,193.89998500000002,True,217
136,Zombie,20.0,0.0,9.151171207427979,0.0,224.49998499999998,True,230
137,Zombie,20.0,5.333334000000001,17.69094729423523,-30.0,134.319988,True,443
138,Zombie,20.0,0.0,17.299113988876343,0.0,132.84,True,433
139,Zombie,20.0,0.0,8.47099757194519,-10.0,147.6,True,212
140,Zombie,20.0,3.0,6.972920894622803,-30.0,117.599997,True,174
141,Zombie,20.0,3.6666659999999993,18.960585594177246,-30.0,135.87998199999998,True,474
142,Zombie,20.0,3.0,15.525869369506836,0.0,76.05997555,True,389
143,Zombie,20.0,9.166664,14.496649742126465,-30.000000000000018,147.599997,True,363
144,Zombie,20.0,13.166665,23.032387018203735,-30.0,111.63107395,True,576
145,Zombie,18.0240029,0.0,24.01296305656433,-30.0,118.08,False,600
146,Zombie,19.78767407,20.0,24.00684356689453,-30.000000999999997,147.6,False,599
147,Zombie,13.57607,6.666668,24.009819746017456,-30.0,88.56000599999999,False,598
148,Zombie,20.0,11.833333,23.31950044631958,-30.0,139.1711515,True,584
149,Zombie,6.326034999999999,10.166665,24.021288871765137,-30.0,73.8,False,600
150,Zombie,20.0,0.0,15.792091846466064,-30.0,118.94180349999999,True,395
151,Zombie,20.0,12.333333,14.603010416030884,-30.0,147.6,True,366
152,Zombie,20.0,13.166667,16.75826859474182,-30.0,122.20716999999999,True,419
153,Zombie,20.0,0.0,15.24978518486023,0.0,122.319979,True,382
154,Zombie,20.0,0.0,14.350473880767822,0.0,135.8199925,True,359
155,Zombie,20.0,18.999999,22.200628757476807,-30.0,121.247578,True,555
156,Zombie,20.0,0.0,18.45991563796997,-30.0,137.19997899999998,True,462
157,Zombie,17.0983362,9.0,24.03700089454651,-30.0,147.6000075,False,599
158,Zombie,20.0,2.0,15.18201208114624,-30.0,147.60000599999998,True,380
159,Zombie,20.0,3.0,20.309252738952637,-30.0,90.4599775,True,507
160,Zombie,20.0,2.0,19.898386001586914,-30.0,120.0999805,True,498
161,Zombie,20.0,0.0,19.461793184280396,-30.0,118.08000000000001,True,487
162,Zombie,20.0,3.0,22.71268892288208,-30.0,73.800001155,True,568
163,Zombie,10.776,3.0,24.044952154159546,-30.0,73.79999999999997,False,601
164,Zombie,11.761751,10.999998,24.061444759368896,-30.000000000000018,78.40610499999997,False,600
165,Zombie,20.0,0.0,12.573708534240723,-30.0,151.27705,True,315
166,Zombie,20.0,1.0,10.231979608535767,-30.0,164.8599775,True,256
167,Zombie,20.0,0.0,11.924593687057495,-30.0,161.95595500000002,True,299
168,Zombie,20.0,0.0,17.975146532058716,-30.0,123.80773,True,450
169,Zombie,3.84,0.0,24.009564638137817,-30.0,28.800000000000026,False,598
170,Zombie,11.660002,0.0,24.040635347366333,-30.0,73.8,False,600
171,Zombie,6.410708,2.8333319999999986,24.040385484695435,-30.0,59.04,False,601
172,Zombie,6.7960005,0.0,23.996934413909912,-30.0,59.04000750000001,False,599
173,Zombie,13.6871843,13.833334,24.0421462059021,-30.0,68.40610499999997,False,598
174,Zombie,20.0,0.0,23.157543659210205,-30.0,179.98000000000002,True,579
175,Zombie,20.0,5.166668,20.997122526168823,-30.0,154.060009,True,525
176,Zombie,20.0,0.0,15.991925239562988,-30.0,130.047271,True,399
177,Zombie,7.911222,14.833334,24.01510500907898,-30.0,44.10000000000002,False,600
178,Zombie,18.6960006,4.0,24.014597177505493,-30.0,118.0800045,False,600
179,Zombie,20.0,0.0,13.006677865982056,-30.0,135.5200045,True,326
180,Zombie,20.0,0.0,7.372974872589111,0.0,208.11998499999999,True,185
181,Zombie,20.0,0.0,17.306080102920532,0.0,105.15997645,True,433
182,Zombie,19.552001,5.166665999999999,24.020827531814575,-30.0,118.08,False,600
183,Zombie,20.0,0.0,19.48286461830139,-30.0,106.59997225,True,487
184,Zombie,16.9719472,2.8333340000000007,24.037347555160522,-30.0,73.8,False,600
185,Zombie,20.0,3.0,16.045273780822754,-30.0,143.3672755,True,401
186,Zombie,20.0,0.0,14.029746294021606,-30.0,106.41998889999999,True,352
187,Zombie,20.0,0.0,16.235398769378662,-30.0,120.639979,True,407
188,Zombie,20.0,8.999999,23.242568731307983,-30.0,118.07999700000002,True,581
189,Zombie,18.9089913,14.833332,24.067148208618164,-30.0,118.0800045,False,600
190,Zombie,20.0,2.0,9.98404598236084,-30.0,135.1599985,True,250
191,Zombie,20.0,0.0,9.708900928497314,-30.0,122.499982,True,243
192,Zombie,20.0,7.833330999999999,15.168858528137207,-30.0,103.19086855,True,379
193,Zombie,18.6360006,0.0,24.047949075698853,-30.0,73.8,False,601
194,Zombie,20.0,5.000002,15.713726282119751,-30.000000000000018,112.0654381,True,392
195,Zombie,20.0,2.0,16.984846591949463,-30.0,147.59999700000003,True,425
196,Zombie,20.0,5.000002,19.394638061523438,-30.000000000000018,119.6537185,True,485
197,Zombie,20.0,16.166667,16.022489070892334,-30.0,121.606021,True,400
198,Zombie,20.0,2.0,11.62588357925415,-30.0,134.3361725,True,289
199,Zombie,9.720001,0.0,24.052207231521606,0.0,44.100014999999985,False,601
200,Zombie,20.0,0.0,14.599915742874146,-30.0,120.819973,True,365
201,Zombie,20.0,5.166669000000001,11.050061702728271,-30.0,115.9939285,True,277
202,Zombie,20.0,0.0,12.80827784538269,-30.0,238.36,True,320
203,Zombie,20.0,0.0,13.377381563186646,-30.0,147.6,True,335
204,Zombie,20.0,0.0,11.162745952606201,-30.0,149.439985,True,279
205,Zombie,16.2303376,17.9999995,24.023289442062378,-30.000000231628402,118.08000899999999,False,600
206,Zombie,8.716001,5.166667,24.002544164657593,-30.0,59.04,False,599
207,Zombie,20.0,0.0,19.42886447906494,-30.0,127.857589,True,484
208,Zombie,20.0,0.0,13.683942079544067,-30.0,118.08000000000001,True,342
209,Zombie,20.0,0.0,13.186439275741577,-30.0,106.5999883,True,330
210,Zombie,20.0,0.0,15.340933084487915,-30.0,147.6,True,383
211,Zombie,20.0,2.0,20.254063844680786,-30.0,118.08,True,506
212,Zombie,20.0,0.0,11.335819244384766,-30.0,134.319988,True,284
213,Zombie,11.995337,15.999998999999999,24.029502630233765,-30.0,58.88413499999999,False,600
214,Zombie,14.716861999999999,14.666665,24.013737440109253,-30.0,103.31999999999998,False,600
215,Zombie,20.0,8.166666,9.295642375946045,-30.0,149.259985,True,233
216,Zombie,13.536000300000001,5.833332,24.034612894058228,-30.000000000000018,59.04,False,600
217,Zombie,12.8700776,0.0,24.00842261314392,-30.0,103.32001500000001,False,600
